word,definition
"decade","a period of ten years, especially a continuous period, such as 1910–1919 or 2000–2009"
"depth","the distance from the top or surface to the bottom of something; a particular distance down from the surface of something"
"decision","a choice or judgement that you make after thinking and talking about what is the best thing to do"
"discuss","to talk about something with somebody, especially in order to decide something"
"debate","a formal discussion of an issue at a public meeting or in a parliament. In a debate two or more speakers express opposite views and then there is often a vote on the issue."
"divorce","the legal ending of a marriage"
"creation","the act or process of making something that is new, or of causing something to exist that did not exist before"
"detail","a small individual fact or item; a less important fact or item"
"deeply","very; very much"
"defeat","to win against somebody in a war, competition, sports game, etc."
"distance","the amount of space between two places or things"
"decrease","to become smaller in size, number, etc.; to make something smaller in size, number, etc."
"dominate","to control or have a lot of influence over somebody/something, especially in an unpleasant way"
"designer","a person whose job is to decide how things such as clothes, furniture, tools, etc. will look or work by making drawings, plans or patterns"
"criteria","a standard or principle by which something is judged, or with the help of which a decision is made"
"define","to say or explain what the meaning of a word or phrase is"
"definition","an explanation of the meaning of a word or phrase, especially in a dictionary"
"diverse","very different from each other and of various kinds"
"crucial","extremely important, because it will affect other things"
"difficult","not easy; needing effort or skill to do or to understand"
"detailed","giving many details and a lot of information; paying great attention to details"
"democracy","a system of government in which the people of a country can vote to elect their representatives"
"drag","to pull somebody/something along with effort and difficulty"
"document","an official paper, book or electronic file that gives information about something, or that can be used as evidence or proof of something"
"democratic","controlled by representatives who are elected by the people of a country; connected with this system"
"curriculum","the subjects that are included in a course of study or taught in a school, college, etc."
"dependent","needing somebody/something in order to survive or be successful"
"direction","the general position a person or thing moves or points towards"
"defensive","protecting somebody/something against attack"
"dialogue","a conversation in a book, play or film or in language teaching materials"
"drink","a liquid for drinking; an amount of a liquid that you drink"
"depict","to show an image of somebody/something in a picture"
"dance","a series of movements and steps that are usually performed to music; a particular example of these movements and steps"
"description","a piece of writing or speech that says what somebody/something is like; the act of writing or saying in words what somebody/something is like"
"disaster","an unexpected event, such as a very bad accident, a flood or a fire, that kills a lot of people or causes a lot of damage"
"delivery","the act of taking goods, letters, etc. to the people they have been sent to"
"difficulty","a problem; a thing or situation that causes problems"
"dust","a fine powder that consists of very small pieces of sand, earth, etc."
"deserve","to do something or show qualities that mean a particular reaction, reward or punishment is appropriate"
"down","to or at a lower place or position"
"despite","used to show that something happened or is true although something else might have happened to prevent it"
"daughter","a person’s female child"
"disease","an illness affecting humans, animals or plants, often caused by infection"
"directly","without stopping or changing direction"
"department","a section of a large organization such as a government, business, university, etc."
"destruction","the act of destroying something; the process of being destroyed"
"developing","poor, and trying to make its industry and economic system more advanced"
"discipline","the practice of training people to obey rules and orders and punishing them if they do not; the controlled behaviour or situation that is the result of this training"
"debt","a sum of money that somebody owes"
"earth","the world; the planet that we live on"
"draw","to make pictures, or a picture of something, with a pencil, pen or chalk (but not paint)"
"device","an object or a piece of equipment that has been designed to do a particular job"
"distinct","easily or clearly heard, seen, felt, etc."
"difference","the way in which two people or things are not like each other; the way in which somebody/something has changed"
"deep","having a large distance from the top or surface to the bottom"
"dish","a flat shallow container for cooking food in or serving it from"
"drug","an illegal substance that some people smoke, inject, etc. for the physical and mental effects it has"
"economics","the study of how a society organizes its money, trade and industry"
"desk","a piece of furniture like a table, often with drawers (= parts like boxes in it with handles on the front for pulling them open), that you sit at to read, write, work, etc."
"deficit","the amount by which money spent or owed is greater than money earned in a particular period of time"
"distinction","a clear difference or contrast especially between people or things that are similar or related"
"differently","in a different way from somebody/something"
"divide","to separate into parts; to make something separate into parts"
"ear","either of the organs on the sides of the head that you hear with"
"educational","connected with education"
"determine","to discover the facts about something; to calculate something exactly"
"division","the process or result of dividing into separate parts; the process or result of dividing something or sharing it out"
"demand","a very strong request for something; something that somebody needs"
"direct","going in the straightest line between two places without stopping or changing direction"
"domestic","of or inside a particular country; not foreign or international"
"eastern","located in the east or facing east"
"egg","a small oval object with a thin hard shell produced by a female bird and containing a young bird; a similar object (without a hard shell) produced by a female fish, insect, etc."
"diet","the food and drink that you eat and drink regularly"
"dominant","more important, powerful or easy to notice than other things"
"depend","according to"
"disappear","to become impossible to see"
"dozen","a group of twelve of the same thing"
"edition","the form in which a book, newspaper, etc. is published"
"electronic","having or using many small parts, such as microchips, that control and direct a small electric current"
"digital","using a system of receiving and sending information as a series of the numbers one and zero, showing that an electronic signal is there or is not there"
"draft","a rough written version of something that is not yet in its final form"
"describe","to say what somebody/something is like"
"discussion","a conversation about somebody/something; the process of discussing somebody/something"
"effectively","in a way that produces the intended result or a successful result"
"dream","a series of images, events and feelings that happen in your mind while you are asleep"
"embrace","an act of putting your arms around somebody as a sign of love or friendship"
"dirt","any substance that makes something dirty, for example dust, soil or mud"
"desperate","feeling or showing that you have little hope and are ready to do anything without worrying about danger to yourself or others"
"dress","a piece of clothing that is made in one piece and hangs down to cover the body as far as the legs, sometimes reaching to below the knees, or to the ankles"
"distant","far away in space or time"
"elect","to choose somebody to do a particular job by voting for them"
"due","caused by somebody/something; because of somebody/something"
"employ","to give somebody a job to do for payment"
"discover","to be the first person to become aware that a particular place or thing exists"
"develop","to gradually grow or become bigger, more advanced, stronger, etc.; to make something do this"
"during","all through a period of time"
"diversity","a range of many people or things that are very different from each other"
"elite","belonging to a group of people in society that is small in number but powerful and with a lot of influence, because they are rich, intelligent, etc."
"earn","to get money for work that you do"
"end","the final part of a period of time, an event, an activity or a story"
"differ","to be different from somebody/something"
"earnings","the money that you earn for the work that you do"
"dog","an animal with four legs and a tail, often kept as a pet or trained for work, for example hunting or guarding buildings. There are many types of dog, some of which are wild."
"disorder","a condition or illness that causes problems with the way part of the body or brain works"
"emotion","a strong feeling such as love, fear or anger; the part of a person’s character that consists of feelings"
"eat","to put food in your mouth, bite it and swallow it"
"dining","the activity of eating a meal"
"english","the language, originally of England, now spoken in many other countries and used as a language of international communication throughout the world"
"downtown","in or towards the centre of a city, especially its main business area"
"dimension","a measurement in space, for example how high, wide or long something is"
"economic","connected with the trade, industry and development of wealth of a country, an area or a society"
"distribute","to give things to a large number of people; to share something between a number of people or groups"
"empty","with no people or things inside"
"educate","to teach somebody over a period of time at a school, university, etc."
"disability","a physical or mental condition that makes it difficult for somebody to do some things that most other people can do"
"entertainment","films, music, etc. used to entertain people; an example of this"
"drawing","a picture made using a pencil or pen rather than paint"
"dna","the chemical in the cells of animals and plants that carries genetic information and is a type of nucleic acid (the abbreviation for ‘deoxyribonucleic acid’)"
"engage","to succeed in attracting and keeping somebody’s attention and interest"
"dirty","not clean"
"education","a process of teaching, training and learning, especially in schools, colleges or universities, to improve knowledge and develop skills"
"efficient","doing something in a good, careful and complete way with no waste of time, money or energy"
"discrimination","the practice of treating somebody or a particular group in society less fairly than others"
"equal","the same in size, quantity, value, etc. as something else"
"dry","not wet or sticky; without water or moisture"
"enough","used before plural or uncountable nouns to mean ‘as many or as much as somebody needs or wants’"
"electric","connected with electricity; using, produced by or producing electricity"
"discovery","an act or the process of finding somebody/something, or learning about something that was not known about before"
"effort","an attempt to do something especially when it is difficult to do"
"dispute","an argument between two people, groups or countries; discussion about a subject on which people disagree"
"door","a piece of wood, glass, etc. that is opened and closed so that people can get in and out of a room, building, car, etc.; a similar thing in a cupboard"
"essential","completely necessary; extremely important in a particular situation or for a particular activity"
"early","near the beginning of a period of time, an event etc."
"entry","an act of going into or getting into a place"
"elsewhere","in, at or to another place or other places"
"electricity","a form of energy from charged elementary particles, usually supplied as electric current through cables, wires, etc. for lighting, heating, driving machines, etc."
"display","to put something in a place where people can see it easily; to show something to people"
"district","an area of a country or town, especially one that has particular features"
"drama","a play for the theatre, television or radio"
"ethnic","connected with or belonging to a group of people that share a cultural tradition"
"emphasis","special importance that is given to something"
"e-mail","a way of sending messages and data to other people by means of computers connected together in a network"
"easy","not difficult; done or obtained without a lot of effort or problems"
"error","a mistake, especially one that causes problems or affects the result of something"
"distribution","the way that something is spread or exists over a particular area or among a particular group of people"
"doctor","a person who has been trained in medical science, whose job is to treat people who are ill or injured"
"drive","to operate a vehicle so that it goes in a particular direction"
"ever","used in negative sentences and questions, or sentences with if to mean ‘at any time’"
"encounter","to experience something, especially something unpleasant or difficult, while you are trying to do something else"
"emphasize","to give special importance to something"
"editor","a person who is in charge of a newspaper, magazine, etc., or part of one, and who decides what should be included"
"estate","an area of land with a lot of houses or factories of the same type on it"
"doubt","a feeling of being uncertain about something or not believing something"
"duty","something that you feel you have to do because it is your moral or legal responsibility"
"evolution","the slow steady development of plants, animals, etc. during the history of the earth, as they adapt to changes in their environment"
"do","used to refer to actions that you do not mention by name or do not know about"
"engineer","a person whose job involves designing and building engines, machines, roads, bridges, etc."
"encourage","to give somebody support, courage or hope"
"efficiency","the quality of doing something well with no waste of time or money"
"even","used to emphasize something unexpected or surprising"
"dramatically","very suddenly and to a very great and often surprising degree"
"ease","lack of difficulty"
"excellent","extremely good"
"double","twice as much or as many as usual"
"enter","to come or go into something"
"engineering","the activity of applying scientific knowledge to the design, building and control of machines, roads, bridges, electrical equipment, etc."
"everyone","every person; all people"
"election","the process of choosing a person or a group of people for a position, especially a political position, by voting"
"economist","a person who studies or writes about economics"
"drop","to allow something to fall by accident; to fall by accident"
"exhibition","a collection of things, for example works of art, that are shown to the public"
"dramatic","sudden, very great and often surprising"
"environmental","connected with the natural conditions in which people, animals and plants live; connected with the environment"
"enterprise","a company or business"
"examination","a formal written, spoken or practical test, especially at school or college, to see how much you know about a subject, or what you can do"
"else","in addition to something already mentioned"
"educator","a person whose job is to teach or educate people"
"eager","very interested and excited by something that is going to happen or about something that you want to do; showing this"
"expense","the money that you spend on something"
"driver","a person who drives a vehicle"
"especially","more with one person, thing, etc. than with others, or more in particular circumstances than in others"
"exciting","causing great interest or excitement"
"emotional","connected with people’s feelings (= with the emotions)"
"episode","one part of a story that is broadcast on television or radio in several parts"
"east","the direction that you look towards to see the sun rise; one of the four main points of the compass"
"eight","8"
"explore","to travel to or around an area or a country in order to learn about it"
"each","used to refer to every one of two or more people or things, when you are thinking about them separately"
"enable","to make it possible for somebody/something to do something"
"expand","to become greater in size, number or importance; to make something greater in size, number or importance"
"essay","a short piece of writing by a student as part of a course of study"
"element","a necessary or typical part of something; one of several parts that something contains"
"edge","the outside limit of an object, a surface or an area; the part furthest from the centre"
"extensive","covering a large area; great in amount"
"easily","without problems or difficulty"
"expert","a person with special knowledge, skill or training in something"
"engine","the part of a vehicle that produces power to make the vehicle move"
"ethics","moral principles that control or influence a person’s behaviour"
"etc","used after a list to show that there are other things that you could have mentioned (the abbreviation for ‘et cetera’)"
"emerge","to move out of or away from something and become possible to see"
"effective","producing the result that is wanted or intended; producing a successful result"
"fabric","material made by weaving wool, cotton, silk, etc., used for making clothes, curtains, etc. and for covering furniture"
"economy","the relationship between production, trade and the supply of money in a particular country or region"
"ensure","to make sure that something happens or is definite"
"express","to show or make known a feeling, an opinion, etc. by words, looks or actions"
"eventually","at the end of a period of time or a series of events"
"event","a thing that happens, especially something important"
"employee","a person who is paid to work for somebody"
"elderly","used as a polite word for ‘old’"
"fail","to not be successful in achieving something"
"effect","a change that somebody/something causes in somebody/something else; a result"
"environment","the natural world in which people, animals and plants live"
"extraordinary","unexpected, surprising or strange"
"everywhere","in, to or at every place; all places"
"evidence","the facts, signs or objects that make you believe that something is true"
"eliminate","to remove or get rid of something"
"enemy","a person who hates somebody or who acts or speaks against somebody/something"
"family","a group consisting of one or two parents and their children"
"either","one or the other of two; it does not matter which"
"factor","one of several things that cause or influence something"
"escape","to get away from a place where you have been kept as a prisoner or not allowed to leave"
"example","something such as an object, a fact or a situation that shows, explains or supports what you say"
"emission","the production or sending out of light, heat, gas, etc."
"exceed","to be greater than a particular number or amount"
"enhance","to increase or further improve the good quality, value or status of somebody/something"
"elementary","in or connected with the first stages of a course of study"
"fast","moving or able to move quickly"
"faith","trust in somebody’s ability or knowledge; trust that somebody/something will do what has been promised"
"estimate","to form an idea of the cost, size, value, etc. of something, but without calculating it exactly"
"employment","work, especially when it is done to earn money; the state of being employed"
"exercise","physical or mental activity that you do to stay healthy or become stronger"
"exhibit","to show something in a public place for people to enjoy or to give them information"
"entire","including everything, everyone or every part"
"emergency","a sudden serious and dangerous event or situation that needs immediate action to deal with it"
"feature","something important, interesting or typical of a place or thing"
"evening","the part of the day between the afternoon and the time you go to bed"
"enforcement","the act of making people obey a particular law or rule"
"far","a long distance away"
"expectation","a belief that something will happen because it is likely"
"expect","to think or believe that something will happen or that somebody will do something"
"equally","to the same degree; in the same or in a similar way"
"employer","a person or company that pays people to work for them"
"fence","a structure made of wood or wire supported with posts that is put between two areas of land as a boundary, or around a garden, field, etc. to keep animals in, or to keep people and animals out"
"everything","all things"
"enormous","extremely large"
"explode","to burst (= break apart) or make something burst loudly and violently, causing damage"
"fault","the responsibility for something wrong that has happened or been done"
"explanation","a statement, fact, or situation that tells you why something happened; a reason given for something"
"essentially","when you think about the true, important or basic nature of somebody/something"
"fifty","50"
"energy","the strength, effort and enthusiasm required for physical or mental activity, work, etc."
"entrance","a door, gate, passage, etc. used for entering a room, building or place"
"extension","the act of increasing the area of activity, group of people, etc. that is affected by something"
"extend","to make something longer or larger"
"european","of or connected with Europe"
"feel","to experience a particular feeling or emotion"
"examine","to consider or study an idea, a subject, etc. very carefully"
"final","being or happening at the end of a series of events, actions, statements, etc."
"enjoy","to get pleasure from something"
"era","a period of time, usually in history, that is different from other periods because of particular characteristics or events"
"extremely","to a very high degree"
"fiction","a type of literature that describes imaginary people and events, not real ones"
"every","used with singular nouns to refer to all the members of a group of things or people"
"executive","a person who has an important job as a manager of a company or an organization"
"eye","either of the two organs on the face that you see with"
"finish","to stop doing something or making something because it is complete"
"entirely","in every way possible; completely"
"establishment","an organization, a large institution or a hotel"
"faculty","a department or group of related departments in a college or university"
"evolve","to develop gradually, especially from a simple to a more complicated form; to develop something in this way"
"expansion","an act of increasing or making something increase in size, amount or importance"
"figure","a number representing a particular amount, especially one given in official information"
"fade","to become or to make something become paler or less bright"
"equipment","the things that are needed for a particular purpose or activity"
"five","5"
"evaluation","the act of forming an opinion of the amount, value or quality of something after thinking about it carefully"
"false","wrong; not correct or true"
"except","used before you mention the only thing or person about which a statement is not true"
"familiar","well known to you; often seen or heard and therefore easy to recognize"
"explain","to tell somebody about something in a way that makes it easy to understand"
"establish","to start or create an organization, a system, etc. that is meant to last for a long time"
"find","to discover somebody/something unexpectedly or by chance"
"flight","a journey made by air, especially in a plane"
"everyday","used or happening every day or regularly; ordinary"
"farmer","a person who owns or manages a farm"
"exist","to be real; to be present in a place or situation"
"expression","a word or phrase"
"fashion","a popular style of clothes, hair, etc. at a particular time or place; the state of being popular"
"evaluate","to form an opinion of the amount, value or quality of something after thinking about it carefully"
"fish","a creature that lives in water, breathes through gills, and uses fins and a tail for swimming"
"exactly","used to emphasize that something is correct in every way or in every detail"
"follow","to come or go after or behind somebody/something"
"favorite","liked more than others of the same kind"
"expensive","costing a lot of money"
"extreme","very great in degree"
"fear","the bad feeling that you have when you are in danger or when a particular thing frightens you"
"everybody","every person; all people"
"flat","a set of rooms for living in, usually on one floor of a building"
"exchange","an act of giving something to somebody or doing something for somebody and receiving something in return"
"forest","a large area of land that is thickly covered with trees"
"fellow","used to describe somebody who is the same as you in some way, or in the same situation"
"explosion","the sudden violent bursting and loud noise of something such as a bomb exploding; the act of deliberately causing something to explode"
"factory","a building or group of buildings where goods are made, mainly by machine"
"female","being a woman or a girl"
"exact","correct in every detail"
"existing","found or used now"
"flower","the coloured part of a plant from which the seed or fruit develops. Flowers usually grow at the end of a stem and last only a short time."
"forth","away from a place; out"
"fifteen","15"
"extent","how large, important, serious, etc. something is"
"fifth","5th"
"fall","to drop down from a higher level to a lower level"
"exception","a person or thing that is not included in a general statement"
"experiment","a scientific test that is done in order to study what happens and to gain new knowledge"
"football","a game played by two teams of 11 players, using a round ball that players kick up and down the playing field. Teams try to kick the ball into the other team’s goal."
"fill","to make something full of something; to become full of something"
"frame","a strong border or structure of wood, metal, etc. that holds a picture, door, piece of glass, etc. in position"
"existence","the state or fact of being real or living or of being present"
"face","the front part of the head, where the eyes, nose and mouth are"
"film","a series of moving pictures recorded with sound that tells a story, watched at a cinema or on a television or other device"
"farm","an area of land, and the buildings on it, used for growing crops and/or keeping animals"
"exposure","the state of being in a place or situation where there is no protection from something harmful or unpleasant"
"formal","very correct and suitable for official or important occasions"
"frequently","often"
"fine","in good health"
"experience","the knowledge and skill that you have gained through doing something for a period of time; the process of gaining this"
"failure","lack of success in doing or achieving something"
"favor","a thing that you do to help somebody"
"foundation","a principle, an idea or a fact that something is based on and that it grows from"
"extra","more than is usual, expected, or than exists already"
"finger","one of the four long thin parts that stick out from the hand (or five, if the thumb is included)"
"frustration","the feeling of being frustrated"
"fit","to be the right shape and size for somebody/something"
"expose","to show something that is usually hidden"
"famous","known about by many people"
"freeze","to become hard, and often turn to ice, as a result of extreme cold; to make something do this"
"fitness","the state of being physically healthy and strong"
"fact","a thing that is known to be true, especially when it can be proved"
"feeling","something that you feel through the mind or through the senses"
"funding","money for a particular purpose; the act of providing money for such a purpose"
"flee","to leave a person or place very quickly, especially because you are afraid of possible danger"
"external","connected with or located on the outside of something/somebody"
"fat","having too much flesh on it and weighing too much"
"friendship","a relationship between friends"
"fairly","to some extent but not very"
"flesh","the soft substance between the skin and bones of animal or human bodies"
"gallery","a room or building for showing works of art, especially to the public"
"focus","to give attention, effort, etc. to one particular subject, situation or person rather than another"
"field","an area of land in the country used for growing crops or keeping animals in, usually surrounded by a fence, etc."
"facility","buildings, services, equipment, etc. that are provided for a particular purpose"
"federal","having a system of government in which the individual states of a country have control over their own affairs, but are controlled by a central government for national decisions, etc."
"fun","the feeling of enjoying yourself; activities that you enjoy"
"fantasy","a pleasant situation that you imagine but that is unlikely to happen"
"folk","people in general"
"gate","a barrier like a door that is used to close an opening in a fence or a wall outside a building"
"force","violent physical action used to obtain or achieve something"
"file","a box or folded piece of card for keeping loose papers together and in order"
"fair","acceptable and appropriate in a particular situation"
"few","used with plural nouns and a plural verb to mean ‘a small number’, ‘some’"
"furthermore","in addition to what has just been stated. Furthermore is used especially to add a point to an argument."
"father","a male parent of a child or an animal; a person who is acting as the father to a child"
"foreign","in or from a country that is not your own"
"generally","by or to most people"
"former","that existed in earlier times"
"finding","information that is discovered as the result of research into something"
"fan","a person who admires somebody/something or enjoys watching or listening to somebody/something very much"
"garage","a building for keeping one or more cars or other vehicles in"
"fight","to take part in a war or battle against an enemy"
"feed","to give food to a person or an animal"
"formula","a series of letters, numbers or symbols that represent a rule or law"
"four","4"
"fishing","the sport or business of catching fish"
"finally","after a long time, especially when there has been some difficulty or delay"
"gear","equipment in a vehicle that changes the relation between engine speed (or pedal speed on a bicycle) and the speed of the wheels moving forwards or backwards"
"fourth","4th"
"fiber","the part of food that helps to keep a person healthy by keeping the bowels working and moving other food quickly through the body"
"get","to receive something"
"frequency","the rate at which something happens or is repeated"
"flavor","how food or drink tastes"
"gentleman","a man who is polite and well educated, who has excellent manners and always behaves well"
"fire","the flames, light and heat, and often smoke, that are produced when something burns"
"frequent","happening or doing something often"
"fighting","the activity of being involved in a battle against an enemy"
"given","already arranged"
"front","the part or side of something that faces forward; the side of something that you look at first"
"fly","to move through the air, using wings"
"gifted","having a lot of natural ability or intelligence"
"fix","to repair or correct something"
"financial","connected with money and finance"
"fruit","the part of a plant that consists of one or more seeds and a soft inner part, can be eaten as food and usually tastes sweet"
"god","the being or spirit that is worshipped and is believed to have created the universe"
"fund","an amount of money that has been saved or has been made available for a particular purpose"
"global","covering or affecting the whole world"
"float","to move slowly on water or in the air"
"fundamental","serious and very important; affecting the most central and important parts of something"
"first","happening or coming before all other similar things or people; 1st"
"grade","a mark given in an exam or for a piece of school work"
"gain","to obtain or win something, especially something that you need or want"
"for","used to show who is intended to have or use something or where something is intended to be put"
"following","that is/are going to be mentioned next"
"galaxy","any of the large systems of stars, etc. in outer space"
"flame","a hot bright stream of burning gas that comes from something that is on fire"
"grass","a common wild plant with narrow green leaves and stems that are eaten by cows, horses, sheep, etc."
"good","of high quality or an acceptable standard"
"garlic","a vegetable of the onion family with a very strong taste and smell, used in cooking to add taste to food"
"formation","the action of forming something; the process of being formed"
"forever","used to say that a particular situation or state will always exist"
"gas","any substance like air that is neither a solid nor a liquid, for example hydrogen or oxygen"
"flow","the steady and continuous movement of something/somebody in one direction"
"grand","impressive and large or important"
"group","a number of people or things that are together in the same place or that are connected in some way"
"gene","a unit inside a cell that controls a particular quality in a living thing that has been passed on from its parents"
"founder","a person who starts an organization, institution, etc. or causes something to be built"
"fortune","a large amount of money"
"general","affecting all or most people, places or things"
"guide","a person who shows other people the way to a place, especially somebody employed to show tourists around interesting places"
"greatest","very good or pleasant"
"foot","the lowest part of the leg, below the ankle, on which a person or an animal stands"
"german","from or connected with Germany"
"french","of or connected with France, its people or its language"
"gesture","a movement that you make with your hands, your head or your face to show a particular meaning"
"fate","the things, especially bad things, that will happen or have happened to somebody/something"
"girlfriend","a girl or a woman that somebody is having a romantic relationship with"
"half","either of two equal parts into which something is or can be divided"
"framework","the parts of a building or an object that support its weight and give it shape"
"guarantee","to promise to do something; to promise something will happen"
"fee","an amount of money that you pay for professional advice or services"
"form","a type or variety of something"
"from","used to show where somebody/something starts"
"give","to hand something to somebody so that they can look at it, use it or keep it for a time"
"guy","a man"
"fresh","recently produced or picked and not frozen, dried or preserved in tins or cans"
"hard","difficult to do, understand or answer"
"go","to move or travel from one place to another"
"found","to start something, such as an organization or an institution, especially by providing money"
"fewer","a small number of people, things or places; some"
"function","a special activity or purpose of a person or thing"
"fuel","any material that produces heat or power, usually when it is burnt"
"handle","to deal with a situation, a person, an area of work or a strong emotion"
"headquarters","a place from which an organization or a military operation is controlled; the people who work there"
"freedom","the power or right to do or say what you want without anyone stopping you"
"governor","a person who is the official head of a country or region that is governed by another country"
"goal","a frame with a net into which players must kick or hit the ball in order to score a point"
"funeral","a ceremony, often a religious one, for burying or cremating (= burning) a dead person"
"future","the time that will come after the present or the events that will happen then"
"fighter","a fast military plane designed to attack other aircraft"
"heavily","to a great degree; in large amounts"
"friendly","behaving in a kind and pleasant way because you like somebody or want to help them"
"grandmother","the mother of your father or mother"
"have","to own, hold or possess something"
"grab","to take or hold somebody/something with your hand suddenly or roughly"
"finance","money used to run a business, an activity or a project"
"helpful","able to improve a particular situation"
"game","an activity that you do to have fun, often one that has rules and that you can win or lose; the equipment for a game"
"garden","a piece of land next to or around your house where you can grow flowers, fruit, vegetables, etc., usually with a lawn (= an area of grass)"
"fully","completely"
"grant","to agree to give somebody what they ask for, especially formal or legal permission to do something"
"hearing","the ability to hear"
"firm","a business or company"
"hide","to put or keep somebody/something in a place where they/it cannot be seen or found"
"gather","to come together, or bring people together, in one place to form a group"
"gender","the fact of being male or female, especially when considered with reference to social and cultural differences, rather than differences in biology; members of a particular gender as a group"
"grocery","a shop that sells food and other things used in the home. In American English ‘grocery store’ is often used to mean ‘supermarket’."
"furniture","objects that can be moved, such as tables, chairs and beds, that are put into a house or an office to make it suitable for living or working in"
"helicopter","an aircraft without wings that has large blades (= long flat parts) on top that go round. It can fly straight up from the ground and can also stay in one position in the air."
"flag","a piece of cloth with a special coloured design on it that may be the symbol of a particular country or organization, may be used to give a signal or may have a particular meaning. A flag can be attached to a pole (= a long thin straight piece of wood or metal) or held in the hand."
"hip","the area at either side of the body between the top of the leg and the middle part of the body; the joint at the top of the leg that connects it with the top part of the body"
"generate","to produce energy, especially electricity"
"gently","in a way that is soft and light, not strong, extreme or violent"
"guess","to try and give an answer or make a judgement about something without being sure of all the facts"
"gap","a space where something is missing"
"hero","a person who is admired by many people for doing something brave or good"
"floor","the surface of a room that you walk on"
"hold","to have somebody/something in your hand, arms, etc."
"girl","a female child"
"ghost","the spirit of a dead person that a living person believes they can see or hear"
"habitat","the place where a particular type of animal or plant is normally found"
"gaze","to look steadily at somebody/something for a long time, either because you are very interested or surprised, or because you are thinking of something else"
"highway","a main road for travelling long distances, especially one connecting and going through cities and towns"
"food","things that people or animals eat"
"honor","great respect for somebody"
"glad","pleased; happy"
"genetic","connected with genes (= the units in the cells of a living thing that control its physical characteristics) or genetics (= the study of genes)"
"happen","to take place, especially without being planned"
"glove","a piece of clothing for the hand, made of wool, leather, etc. with separate parts for each finger and the thumb"
"historic","important in history; likely to be thought of as important at some time in the future"
"forget","to not remember to do something that you ought to do, or to bring or buy something that you ought to bring or buy"
"hotel","a building where people stay, usually for a short time, paying for their rooms and meals"
"gold","a chemical element. Gold is a yellow precious metal used for making coins, jewellery, beautiful objects, etc."
"gift","a thing that you give to somebody, especially on a special occasion or to say thank you"
"government","the group of people who are responsible for controlling a country or a state"
"head","the part of the body on top of the neck containing the eyes, nose, mouth and brain"
"home","the house or flat that you live in, especially with your family"
"forward","towards a place or position that is in front"
"human","of or connected with people rather than animals, machines or gods"
"gradually","slowly, over a long period of time"
"glass","a hard, usually clear, substance used, for example, for making windows and bottles"
"grandfather","the father of your father or mother"
"horse","a large animal with four legs, a mane (= long thick hair on its neck) and a tail. Horses are used for riding on, pulling carriages, etc."
"hypothesis","an idea or explanation of something that is based on a few known facts but that has not yet been proved to be true or correct"
"heat","the quality of being hot"
"free","without particular plans or arrangements; not busy"
"grave","a place in the ground where a dead person is buried"
"golf","a game played over a large area of ground using sticks with a special shape to hit a small hard ball (a golf ball) into a series of 9 or 18 holes, using as few shots as possible"
"green","having the colour of grass or the leaves of most plants and trees"
"hello","used as a greeting when you meet somebody, in an email, when you answer the phone or when you want to attract somebody’s attention"
"housing","houses, flats, etc. that people live in, especially when referring to their type, price or condition"
"friend","a person you know well and like, and who is not usually a member of your family"
"grow","to increase in size, number, strength or quality"
"grain","the small hard seeds of food plants such as wheat, rice, etc.; a single seed of such a plant"
"guard","a person, such as a soldier, a police officer or a prison officer, who protects a place or people, or prevents prisoners from escaping"
"imagination","the ability to create pictures in your mind; the part of your mind that does this"
"hey","used to attract somebody’s attention or to express interest, surprise or anger"
"hunter","a person who hunts wild animals for food or sport; an animal that hunts its food"
"guideline","a set of rules or instructions that are given by an official organization telling you how to do something, especially something difficult"
"full","containing or holding as much or as many as possible; having no empty space"
"great","very good or pleasant"
"habit","a thing that you do often and almost without thinking, especially something that is hard to stop doing"
"implication","a possible effect or result of an action or a decision"
"ideal","perfect; most suitable"
"him","used as the object of a verb, after the verb be or after a preposition to refer to a male person or animal that has already been mentioned or is easily identified"
"hall","a space or passage inside the entrance or front door of a building"
"funny","making you laugh"
"growth","the process in people, animals or plants of growing physically, mentally or emotionally"
"hang","to attach something, or to be attached, at the top so that the lower part is free or loose"
"impressive","making you admire them, because they are very large, good, skilful, etc."
"illegal","not allowed by the law"
"history","all the events that happened in the past"
"hardly","almost no; almost not; almost none"
"gang","an organized group of criminals"
"gun","a weapon that is used for firing bullets or shells"
"he","a male person or animal that has already been mentioned or is easily identified"
"income","the money that a person, a region, a country, etc. earns from work, from investing money, from business, etc."
"immigrant","a person who has come to live permanently in a different country from the one they were born in"
"honest","always telling the truth, and never stealing or cheating"
"gay","sexually or romantically attracted to people of the same sex"
"health","the condition of a person’s body or mind"
"handful","the amount of something that can be held in one hand"
"independence","freedom from political control by other countries"
"impose","to introduce a new law, rule, tax, etc.; to order that a rule, punishment, etc. be used"
