word,definition
"result","a thing that is caused or produced because of something else"
"respond","to give a spoken or written answer to somebody/something"
"satisfy","to make somebody pleased by doing or giving them what they want"
"professor","a university teacher of the highest rank"
"resistance","dislike of or opposition to a plan, an idea, etc.; the act of refusing to obey"
"ratio","the relationship between two groups of people or things that is represented by two numbers showing how much larger one group is than the other"
"print","to produce letters, pictures, etc. on paper using a machine that puts ink  on the surface"
"see","to become aware of somebody/something by using your eyes"
"restriction","a rule or law that limits what you can do or what can happen"
"scenario","a description of how things might happen in the future"
"promote","to help sell a product, service, etc. or make it more popular by advertising it or offering it at a special price"
"response","a spoken or written answer"
"ready","fully prepared for what you are going to do and able to start it immediately"
"problem","a thing that is difficult to deal with or to understand"
"self","the type of person you are, especially the way you normally behave, look or feel"
"review","a report in a newspaper or magazine, or on the internet, television or radio, in which somebody gives their opinion of a book, play, film, product, etc.; the act of writing this kind of report"
"scientific","involving science; connected with science"
"revolution","an attempt, by a large number of people, to change the government of a country, especially by violent action"
"profession","a type of job that needs special training or skill, especially one that needs a high level of education"
"propose","to suggest a plan, an idea, etc. for people to think about and decide on"
"receive","to get or accept something that is sent or given to you"
"sentence","a set of words expressing a statement, a question or an order, usually containing a subject and a verb. In written English  begin with a capital letter and end with a full stop/period (.), a question mark (?) or an exclamation mark (!)."
"retain","to keep something; to continue to have something"
"search","an attempt to find somebody/something, especially by looking carefully for them/it"
"session","a period of time that is spent doing a particular activity"
"right","true or correct as a fact"
"rhythm","a strong regular repeated pattern of sounds or movements"
"prominent","important or well known"
"ring","a piece of jewellery that you wear on your finger, consisting of a round band of gold, silver, etc., sometimes decorated with precious stones"
"secure","to obtain or achieve something, especially when this means using a lot of effort"
"record","a written account of something that is kept so that it can be looked at and used in the future"
"sex","the state of being male or female"
"roll","to turn over and over and move in a particular direction; to make a round object do this"
"proud","feeling pleased and satisfied about something that you own or have done, or are connected with"
"rise","to come or go upwards; to reach a higher level or position"
"proportion","a part or share of a whole"
"romantic","connected with or about love or a sexual relationship"
"select","to choose somebody/something from a group of people or things, usually according to a system"
"refer","to send somebody/something to somebody/something for help, advice or a decision"
"sharp","having a fine edge or point, especially of something that can cut or make a hole in something"
"roughly","approximately but not exactly"
"psychology","the scientific study of the mind and how it influences behaviour"
"protein","a substance, found within all living things, that forms the structure of muscles, organs, etc. There are many different proteins and they are an essential part of what humans and animals eat to help them grow and stay healthy."
"roof","the structure that covers or forms the top of a building or vehicle"
"round","having a shape like a circle or a ball"
"sense","an understanding about something; an ability to judge something"
"regarding","relating to somebody/something; about somebody/something"
"ship","a large boat that carries people or goods by sea"
"purchase","to buy something"
"running","the action or sport of running"
"psychological","connected with a person’s mind and the way in which it works"
"rural","connected with or like the countryside"
"route","a way that you follow to get from one place to another"
"regulate","to control something by means of rules"
"serve","to give somebody food or drink, for example at a restaurant or during a meal"
"shopping","the activity of going to shops and buying things or ordering them online"
"quarter","one of four equal parts of something"
"sake","used to emphasize that it is important to do something or when you are annoyed about something"
"salad","a mixture of raw vegetables such as lettuce, tomato and cucumber, usually served with other food as part of a meal"
"rush","to move or to do something with great speed, often too fast"
"pull","to take hold of something and use force in order to move it or try to move it towards yourself"
"several","more than two but not very many"
"relatively","to a fairly large degree, especially in comparison to something else"
"quite","to some degree"
"sand","a substance that consists of very small fine grains of rock. Sand is found on beaches, in deserts, etc."
"show","to make something clear; to prove something"
"salary","money that employees receive for doing their job, especially professional employees or people working in an office, usually paid every month"
"sanction","an official order that limits trade, contact, etc. with a particular country, in order to make it do something, such as obeying international law"
"qualify","to reach the standard of ability or knowledge needed to do a particular job, for example by completing a course of study or passing exams"
"raise","to lift or move something to a higher level"
"quietly","in a way that makes very little noise"
"satellite","an electronic device that is sent into space and moves around the earth or another planet. It is used for communicating by radio, television, etc. and for gathering information."
"scale","the size or extent of something, especially when compared with something else"
"say","to speak or tell somebody something, using words"
"sign","an event, an action, a fact, etc. that shows that something exists, is happening or may happen in the future"
"remain","to continue to be something; to be still in the same state or condition"
"rail","a wooden or metal bar placed around something as a barrier or to provide support"
"scandal","behaviour or an event that people think is morally or legally wrong and causes public feelings of shock or anger"
"rather","used to mean ‘fairly’ or ‘to some degree’, often when you are disappointed, surprised or expressing slight criticism"
"repeatedly","many times"
"similar","like somebody/something but not exactly the same"
"scholar","a person who knows a lot about a particular subject because they have studied it in detail"
"scholarship","an amount of money given to somebody by an organization to help pay for their education"
"shape","the form of the outer edges or surfaces of something; an example of something that has a particular form"
"rarely","not very often"
"reader","a person who reads, especially one who reads a lot or in a particular way"
"school","a place where children go to be educated"
"single","only one"
"screen","the flat surface at the front of a television, computer, or other electronic device, on which you see pictures or information"
"shift","a period of time worked by a group of workers who start work as another group finishes"
"republican","a person who supports a form of government with a president and politicians elected by the people and with no king or queen"
"scream","to give a loud, high shout, because you are hurt, frightened, excited, etc."
"script","a written text of a play, film, broadcast, talk, etc."
"shooting","a situation in which a person is shot with a gun"
"size","how large or small a person or thing is"
"secretary","a person who works in an office, working for another person, dealing with mail and phone calls, keeping records, arranging meetings with people, etc."
"reaction","what you do, say or think as a result of something that has happened"
"reasonable","fair, practical, and sensible"
"secret","known about by only a few people; kept hidden from others"
"reservation","an arrangement for a seat on a plane or train, a room in a hotel, etc. to be kept for you"
"section","any of the parts into which something is divided"
"shoulder","either of the two parts of the body between the top of each arm and the neck"
"recommend","to tell somebody that something is good or useful, or that somebody would be suitable for a particular job, etc."
"seek","to look for something/somebody"
"slide","to move easily over a smooth or wet surface; to make something move in this way"
"respect","a strong feeling of approval of somebody/something because of their good qualities or achievements"
"really","used to emphasize an adjective or adverb"
"seem","to give the impression of being or doing something"
"segment","a part of something that is separate from the other parts or can be considered separately"
"sigh","to take and then let out a long deep breath that can be heard, to show that you are disappointed, sad, tired, etc."
"reduce","to make something less or smaller in size, quantity, price, etc.; to become less or smaller in size, quantity, etc."
"senate","one of the two groups of elected politicians who make laws in some countries, for example in the US, Australia, Canada and France. The Senate is smaller than the other group but higher in rank. Many state parliaments in the US also have a Senate."
"smell","to have a particular smell"
"restore","to bring back a situation or feeling that existed before"
"recognition","the act of remembering who somebody is when you see them, or of identifying what something is"
"senator","a member of a senate"
"silent","where there is little or no sound; making little or no sound"
"send","to make something go or be taken to a place, especially by post, email, radio, etc."
"sequence","a set of events, actions, numbers, etc. which have a particular order and which lead to a particular result"
"refuse","to say or show that you will not do something that somebody has asked you to do"
"soccer","a game played by two teams of 11 players, using a round ball which players kick up and down the playing field. Teams try to kick the ball into the other team’s goal."
"revenue","the money that a government receives from taxes or that an organization, etc. receives from its business"
"series","a set of television or radio programmes or podcasts that deal with the same subject or that have the same characters"
"recruit","to find new people to join a company, an organization, the armed forces, etc."
"sing","to make musical sounds with your voice in the form of a song or tune"
"serious","bad or dangerous"
"regular","following a pattern, especially with the same time or space in between each thing and the next"
"setting","an environment where something is located; the place at which something happens"
"solid","hard; not in the form of a liquid or gas"
"rifle","a gun with a long barrel which you hold to your shoulder to fire"
"settle","to put an end to an argument or a disagreement"
"reform","change that is made to a social system, an organization, etc. in order to improve or correct it"
"shade","an area that is dark and cool under or behind something, for example a tree or building, because the sun’s light does not get to it"
"sometimes","occasionally rather than all of the time"
"relationship","the way in which two people, groups or countries behave towards each other or deal with each other"
"role","an actor’s part in a play, film, etc."
"shadow","the dark shape that somebody/something’s form makes on a surface, for example on the ground, when they are between the light and the surface"
"regional","of or relating to a region"
"sheet","a large piece of thin cloth used on a bed to lie on or lie under"
"sort","a group or type of people or things that are similar in a particular way"
"religious","connected with religion or with a particular religion"
"rough","having a surface that is not even or regular"
"shelf","a flat board, made of wood, metal, glass, etc., fixed to the wall or forming part of a cupboard, bookcase, etc., for things to be placed on"
"relate","show or make a connection between two or more things"
"shit","a swear word that many people find offensive, used to show that you are angry or annoyed"
"remove","to take somebody/something away from a place"
"space","the area outside the earth’s atmosphere where all the other planets and stars are"
"relief","the feeling of happiness that you have when something unpleasant stops or does not happen"
"shock","a strong feeling of surprise as a result of something happening, especially something unpleasant; the event that causes this feeling"
"representation","the act of presenting somebody/something in a particular way; something that shows or describes something"
"run","to move using your legs, going faster than when you walk"
"specifically","connected with or intended for one particular thing only"
"shortly","a short time; not long"
"researcher","a person who studies something carefully and tries to discover new facts about it"
"remind","to help somebody remember something, especially something important that they must do"
"safety","the state of being safe and protected from danger or harm"
"reporter","a person who collects and reports news for newspapers, radio or television"
"shut","to close something; to become closed"
"situation","all the circumstances and things that are happening at a particular time and in a particular place"
"resort","a place where a lot of people go on holiday"
"settlement","an official agreement that ends an argument between two people or groups"
"sample","a number of people or things taken from a larger group and used in tests to provide information about the group"
"split","to divide, or to make something divide, into two or more parts"
"significant","large or important enough to have an effect or to be noticed"
"requirement","something that you need or want"
"sleep","to rest with your eyes closed and your mind and body not active"
"rest","the part of something that remains"
"shake","to move or make somebody/something move with short quick movements from side to side or up and down"
"simply","used to emphasize how easy or basic something is"
"shell","the hard outer part of eggs, nuts, some seeds, and some animals"
"resolution","a definite decision to do or not to do something"
"return","to come or go back from one place to another"
"stability","the quality or state of being steady and not changing or being upset in any way (= the quality of being stable)"
"sister","a girl or woman who has the same mother and father as another person"
"short","measuring or covering a small length or distance, or a smaller length or distance than usual"
"small","not large in size, number, degree, amount, etc."
"shoe","one of a pair of objects usually made of leather or plastic that you wear on your feet"
"rid","to be free of somebody/something that has been annoying you or that you do not want"
"responsibility","a duty to deal with or take care of somebody/something, so that you may be blamed if something goes wrong"
"standing","done from a position in which you are standing rather than sitting or running"
"shrug","to raise your shoulders and then drop them to show that you do not know or care about something"
"skin","the layer of tissue that covers the body"
"shot","the act of firing a gun; the sound this makes"
"so","to such a great degree"
"road","a hard surface built for vehicles to travel on"
"status","the legal position of a person, group or country"
"significance","the importance of something, especially when this has an effect on what happens in the future"
"solar","of or connected with the sun"
"sick","physically or mentally ill"
"retire","to leave your job and stop working, especially because you have reached a particular age or because you are ill; to tell somebody they must stop doing their job"
"stir","to move a liquid or substance around, using a spoon or something similar, in order to mix it completely"
"slip","to slide a short distance by accident so that you fall or nearly fall"
"simple","not complicated; easy to understand or do"
"someone","a person who is not known or mentioned by name"
"saving","an amount of something such as time or money that you do not need to use or spend"
"rope","very strong thick string made by twisting thinner strings, wires, etc. together"
"significantly","in a way that is large or important enough to have an effect on something or to be noticed"
"rice","short, narrow white or brown grain grown on wet land in hot countries as food; the plant that produces this grain"
"smooth","completely flat and even, without any rough areas or holes"
"sir","used as a polite way of addressing a man whose name you do not know, for example in a shop or restaurant"
"sophisticated","clever and complicated in the way that it works or is presented"
"story","a description of events and people that the writer or speaker has invented in order to entertain people"
"scheme","a plan or system for doing or organizing something"
"soft","changing shape easily when pressed; not stiff or hard"
"skill","the ability to do something well"
"southern","located in the south or facing south; connected with or typical of the south part of the world or a region"
"strength","the quality of being physically strong"
"rub","to move your hand, a cloth, etc., backwards and forwards over a surface while pressing it"
"score","to win points, goals, etc. in a game or competition"
"some","used with uncountable nouns or plural countable nouns to mean ‘an amount of’ or ‘a number of’, when the amount or number is not given"
"species","a group into which animals, plants, etc. that are able to have sex with each other and produce healthy young are divided, smaller than a genus and identified by a Latin name"
"sad","unhappy or showing unhappiness"
"slightly","a little"
"son","a person’s male child"
"spirit","the part of a person that includes their mind, feelings and character rather than their body"
"strong","having a lot of physical power so that you can lift heavy weights, do hard physical work, etc."
"second","happening or coming next after the first in a series of similar things or people; 2nd"
"stupid","showing a lack of thought or good judgement"
"seed","the small hard part produced by a plant, from which a new plant can grow"
"soup","a liquid food made by boiling meat, vegetables, etc. in water, often eaten as the first course of a meal"
"square","having four straight equal sides and four angles of 90°"
"smoke","the grey, white or black gas that is produced by something burning"
"salt","a white substance that is added to food to make it taste better or to preserve it.  is obtained from mines and is also found in seawater. It is sometimes called  to show that it is different from other chemical . Its chemical name is sodium chloride."
"success","the fact that you have achieved something that you want and have been trying to do or get"
"sell","to give something to somebody in exchange for money"
"speaker","a person who gives a talk or makes a speech"
"stand","to be on your feet; to be in a vertical position"
"society","people in general, living together in communities"
"sauce","a thick liquid that is eaten with food to add taste to it"
"separate","forming a unit by itself; not joined to something else"
"spend","to give money to pay for goods, services, etc."
"solve","to find a way of dealing with a problem or difficult situation"
"station","a place where trains stop so that passengers can get on and off; the buildings connected with this"
"scene","the place where something happens, especially something unpleasant"
"spot","a small round area that has a different colour or feels different from the surface it is on"
"set","to prepare or arrange something so that it is ready for use or in position"
"somewhere","in, at or to a place that you do not know or do not mention by name"
"sufficient","enough for a particular purpose; as much as you need"
"scientist","a person who studies or is an expert in one or more of the natural sciences"
"stick","to fix something to something else, usually with a sticky substance; to become fixed to something in this way"
"sexual","connected with the physical activity of sex"
"risk","the possibility of something bad happening at some time in the future; a situation that could be dangerous or have a bad result"
"sun","the star that shines in the sky during the day and gives the earth heat and light"
"sin","an offence against God or against a religious or moral law"
"stage","a period or state that something/somebody passes through while developing or making progress"
"she","a female person or animal that has already been mentioned or is easily identified"
"store","a large shop that sells many different types of goods"
"sit","to rest your weight on your bottom with your back straight, for example on/in a chair"
"sky","the space above the earth that you can see when you look up, where clouds and the sun, moon and stars appear"
"sure","confident that you know something or that you are right"
"sound","something that you can hear"
"season","any of the four main periods of the year: spring, summer, autumn and winter"
"room","a part of a building that has its own walls, floor and ceiling and is usually used for a particular purpose"
"slow","not moving, acting or done quickly; taking a long time; not fast"
"surround","to be all around something/somebody"
"speak","to talk to somebody about something; to have a conversation with somebody"
"shirt","a piece of clothing worn on the upper part of the body, made of light cloth, with sleeves and usually with a collar and buttons down the front"
"stream","a small, narrow river"
"security","the activities involved in protecting a country, building or person against attack, danger, etc."
"snap","to break something suddenly with a sharp noise; to be broken in this way"
"sweep","to clean a room, surface, etc. using a broom (= a type of brush on a long handle)"
"shore","the land along the edge of the sea, the ocean or a lake"
"speed","the rate at which somebody/something moves or travels"
"strip","a long narrow piece of paper, metal, cloth, etc."
"selection","the process of choosing somebody/something from a group of people or things, usually according to a system"
"routine","the normal order and way in which you regularly do things"
"table","a piece of furniture that consists of a flat top supported by legs"
"shower","a piece of equipment producing a flow of water that you stand under to wash yourself; the small room or part of a room that contains a"
"study","the activity of learning or gaining knowledge, either from books or by examining things in the world"
"sport","activity that you do for pleasure and that needs physical effort or skill, usually done in a special area and according to fixed rules"
"sensitive","aware of and able to understand other people and their feelings"
"russian","from or connected with Russia"
"substantial","large in amount, value or importance"
"signal","a movement or sound that you make to give somebody information, instructions, a warning, etc."
"staff","all the workers employed in an organization considered as a group"
"software","the programs used by a computer for doing particular jobs"
"sale","an act or the process of selling something"
"service","a system that provides something that the public needs, organized by the government or a private company"
"similarly","in almost the same way"
"sue","to make a claim against a person or an organization in court about something that they have said or done to harm you"
"stare","to look at somebody/something for a long time"
"satisfaction","the good feeling that you have when you have achieved something or when something that you wanted to happen does happen; something that gives you this feeling"
"severe","extremely bad or serious"
"somebody","a person who is not known or mentioned by name"
"sink","to go down below the surface or towards the bottom of a liquid or soft substance"
"summer","the warmest season of the year, coming between spring and autumn"
"steady","developing, growing, etc. gradually and in an even and regular way"
"start","to begin doing or using something"
"scared","frightened of something or afraid that something bad might happen"
"supposed","used to show that you think that a claim, statement or way of describing somebody/something is not true or correct, although it is generally believed to be"
"share","to have, use or experience something at the same time as somebody else"
"song","a short piece of music with words that you sing"
"stomach","the organ inside the body where food goes when you eat it"
"steal","to take something from a person, shop, etc. without permission and without intending to return it or pay for it"
"science","knowledge about the structure and behaviour of the natural and physical world, based on facts that you can prove, for example by experiments"
"surprising","causing surprise"
"shine","to produce or reflect light; to be bright"
"source","a place, person or thing that you get something from"
"strange","unusual or surprising, especially in a way that is difficult to understand"
"stone","a hard solid mineral substance that is found in the ground, often used for building"
"sea","the salt water that covers most of the earth’s surface and surrounds its continents and islands"
"special","not ordinary or usual; different from what is normal"
"stranger","a person that you do not know"
"sector","a part of an area of activity, especially of a country’s economy"
"stress","pressure or worry caused by problems in somebody’s life or by having too much to do"
"spending","the amount of money that is spent by a government, an organization or a person"
"stretch","to make something longer, wider or looser, for example by pulling it; to become longer, etc. in this way"
"tall","having a greater than average height"
"structure","the way in which the parts of something are connected together, arranged or organized; a particular arrangement of parts"
"seize","to take somebody/something in your hand suddenly and using force"
"spread","to affect or make something affect, be known by, or be used by more and more people"
"taxpayer","a person who pays tax to the government, especially on the money that they earn"
"senior","high in rank or status; higher in rank or status than others"
"subject","a thing or person that is being discussed, described or dealt with"
"stair","on, of or for stairs"
"seriously","in a serious way"
"successfully","in a way that achieves your aims or what was intended"
"technical","connected with the practical use of machines, methods, etc. in science and industry"
"struggle","to try very hard to do something when it is difficult or when there are a lot of problems"
"state","a country considered as an organized political community controlled by one government"
"suggest","to put forward an idea or a plan for other people to think about"
"submit","to give a document, proposal, etc. to somebody in authority so that they can study or consider it"
"tell","to give information to somebody by speaking or writing"
"seven","7"
"steel","a strong, hard metal that is made of a mixture of iron and carbon"
"such","used to emphasize the great degree of something"
"supply","an amount of something that is provided or available to be used"
"tent","a shelter made of a large sheet of canvas, nylon, etc. that is supported by poles and ropes fixed to the ground, and is used especially for camping"
"ski","one of a pair of long narrow pieces of wood, metal or plastic that you attach to boots so that you can move smoothly over snow"
"shall","used with  and  for talking about or predicting the future"
"stop","to no longer move; to make somebody/something no longer move"
"surface","the outside or top layer of something"
"slight","very small in degree"
"suggestion","an idea or a plan that you mention for somebody else to think about"
"shelter","the fact of having a place to live or stay, considered as a basic human need"
"test","an examination of somebody’s knowledge or ability, consisting of questions for them to answer or activities for them to perform"
"strategic","done as part of a plan that is meant to achieve a particular purpose or to gain an advantage"
"survival","the state of continuing to live or exist, often despite difficulty or danger"
"smile","to make a smile appear on your face"
"support","to help or encourage somebody/something by saying or showing that you agree with them/it"
"shoot","to fire a gun or other weapon; to fire something from a weapon"
"shop","a building or part of a building where you can buy goods or services"
"that","used for referring to a person or thing that is not near the speaker or as near to the speaker as another"
"swim","to move through water by moving your arms and legs, without touching the bottom"
"strike","to hit somebody/something hard or with force"
"sustain","to provide enough of what somebody/something needs in order to live or exist"
"social","connected with activities in which people meet each other for pleasure"
"should","used to show what is right, appropriate, etc., especially when criticizing somebody’s actions"
"surgery","medical treatment of injuries or diseases that involves cutting open a person’s body and often removing or replacing some parts; the branch of medicine connected with this treatment"
"theory","a formal set of ideas that is intended to explain why something happens or exists"
"shout","to say something in a loud voice; to speak loudly/angrily to somebody"
"tactic","the particular method you use to achieve something"
"student","a person who is studying at a university or college"
"solution","a way of solving a problem or dealing with a difficult situation"
"symptom","a change in your body or mind that shows that you are not healthy"
"side","either of the two halves of a surface, an object or an area that is divided by an imaginary central line"
"survive","to continue to live or exist"
"tap","to hit somebody/something quickly and lightly"
"thing","an object whose name you do not use because you do not need to or want to, or because you do not know it"
"sight","the ability to see"
"talent","a natural ability to do something well"
"subsequent","happening or coming after something else"
"swing","to move backwards or forwards or from side to side while hanging from a fixed point; to make something do this"
"somewhat","to some degree"
"teach","to give lessons to students in a school, college, university, etc.; to help somebody learn something by giving information about it"
"taste","the particular quality that different foods and drinks have that allows you to recognize them when you put them in your mouth"
"sudden","happening or done quickly and unexpectedly"
"thought","something that you think of or remember"
"soul","the spiritual part of a person, believed to exist after death"
"silver","a chemical element.  is a shiny, grey-white precious metal used for making coins, jewellery, beautiful objects, etc."
"tear","to damage something by pulling it apart or into pieces or by cutting it on something sharp; to become damaged in this way"
"suicide","the act of killing yourself deliberately"
"tail","the part that sticks out at the back of the body of a bird, an animal or a fish, which the animal can move from side to side or up and down"
"throw","to send something from your hand through the air by moving your hand or arm quickly"
"singer","a person who sings, or whose job is singing, especially in public"
"silence","a complete lack of noise or sound"
"tire","to become tired and feel as if you want to sleep or rest; to make somebody feel this way"
"telescope","a piece of equipment like a tube in shape, containing lenses, that you look through to make objects that are far away appear larger and nearer"
"supporter","a person who supports a political party, an idea, etc."
"tape","a long, narrow piece of material with a sticky substance on one side that is used for sticking things together"
"six","6"
"since","from a time in the past until a later past time, or until now"
"tennis","a game in which two or four players use rackets to hit a ball backwards and forwards across a net on a specially marked court"
"together","with or near to somebody/something else; with each other"
"spanish","from or connected with Spain"
"teacher","a person whose job is teaching, especially in a school"
"surprise","an event, a piece of news, etc. that is unexpected or that happens suddenly"
"slice","a thin flat piece of bread, meat, cheese, etc. that has been cut off a larger piece; a piece of cake that has been cut from a larger cake"
"site","a place where a building, town, etc. was, is or will be located"
"terrorism","the use of violent action in order to achieve political aims or to force a government to act"
"teen","between 13 and 19 years old; connected with people of this age"
"tooth","any of the hard white structures in the mouth used for biting food"
"speech","a formal talk that a person gives to an audience"
"smart","looking clean and neat; well dressed in fashionable and/or formal clothes"
"survivor","a person who continues to live, especially despite being nearly killed or experiencing great danger or difficulty"
"ten","10"
"thank","to tell somebody that you are grateful for something"
"spokesman","a person who speaks for a group or an organization"
"tour","a journey made for pleasure during which several different towns, countries, etc. are visited"
"so-called","used to show that you do not think that the word or phrase that is being used to describe somebody/something is appropriate"
"switch","to change or make something change from one thing to another"
"terrible","very unpleasant; making you feel very unhappy, upset or frightened"
"themselves","used when people or animals performing an action are also affected by it"
"stable","fixed or steady; not likely to move, change or fail"
"trace","to find or discover somebody/something by looking carefully for them/it"
"soldier","a member of an army, especially one who is not an officer"
"testing","the activity of testing somebody/something in order to find something out, see if it works, etc."
"technology","scientific knowledge used in practical ways in industry, for example in designing new machines"
"thick","having a larger distance between opposite sides or surfaces than other similar objects or than normal"
"train","a number of connected coaches or trucks, pulled by an engine or powered by a motor in each one, taking people and goods from one place to another"
"star","a large ball of burning gas in space that we see as a point of light in the sky at night"
"temporary","lasting or intended to last or be used only for a short time; not permanent"
"their","of or belonging to people, animals or things that have already been mentioned or are easily identified"
"something","a thing that is not known or mentioned by name"
"travel","to go from one place to another, especially over a long distance"
"stay","to continue to be in a particular place for a period of time without moving away"
"take","to carry or move something from one place to another"
"through","from one end or side of something/somebody to the other"
"sorry","feeling sad and ashamed about something that has been done"
"tribe","a social group in a traditional society consisting of people with the same language, culture, religion, etc., living in a particular area and often having one leader known as a chief"
"stock","a supply of goods that is available for sale in a shop"
"target","a result that you try to achieve"
"soviet","an elected local, district or national council in the former USSR"
"trust","the belief that somebody/something is good, sincere, honest, etc. and will not try to harm or trick you"
"straight","not in a curve or at an angle; in a straight line"
"teaching","the work of a teacher"
"specific","connected with one particular thing only"
"strengthen","to become more powerful or effective; to make somebody/something more powerful or effective"
"twenty","20"
"slave","a person who is owned by another person and is forced to work for and obey them"
"strongly","in a way that shows definite and serious opinions or beliefs"
"spiritual","connected with the human spirit, rather than the body or physical things"
"teenager","a person who is between 13 and 19 years old"
"ultimate","happening at the end of a long process"
"squeeze","to press something, especially with your fingers"
"style","the particular way in which something is done"
"unfortunately","used to say that a particular situation or fact makes you sad or disappointed, or gets you into a difficult position"
"tend","to be likely to do something or to happen in a particular way because this is what often or usually happens"
"successful","achieving your aims or what was intended"
"territory","land that is under the control of a particular country or political leader"
"standard","a level of quality, especially one that people think is acceptable"
"sugar","a sweet substance, often in the form of white or brown crystals, made from the juices of various plants, used in cooking or to make tea, coffee, etc. sweeter"
"terms","the conditions that people offer, demand or accept when they make an agreement, an arrangement or a contract"
"text","any form of written material"
"statistics","a collection of information shown in numbers"
"therefore","used to introduce the logical result of something that has just been mentioned"
"tiny","very small in size or amount"
"super","extremely good"
"still","continuing until a particular point in time and not finishing"
"testimony","a thing that shows that something else exists or is true"
"today","on this day"
"third","3rd"
"surely","used to show that you are almost certain of what you are saying and want other people to agree with you"
"storm","very bad weather with strong winds and rain, and often thunder and lightning"
"theater","a building in which films are shown"
"threaten","to say that you will cause trouble, hurt somebody, etc. if you do not get what you want"
"too","used before adjectives and adverbs to say that something is more than is good, necessary, possible, etc."
"survey","an investigation of the opinions, behaviour, etc. of a particular group of people, which is usually done by asking them questions"
"street","a public road in a city or town that has houses and buildings on one side or both sides"
"tie","to attach or hold two or more things together using string, rope, etc.; to fasten somebody/something with string, rope, etc."
"there","used to show that something exists or happens"
"sweet","containing, or tasting as if it contains, a lot of sugar"
"touch","to put your hand or another part of your body onto somebody/something"
"slowly","at a slow speed; not quickly"
"stroke","an act of hitting a ball, for example with a bat or racket"
"university","an institution at the highest level of education where you can study for a degree or do research"
"thinking","the process of thinking about something"
"snow","small soft white pieces (called ) of frozen water that fall from the sky in cold weather; this substance when it is lying on the ground"
"town","a place with many houses, shops, etc. where people live and work. It is larger than a village but smaller than a city."
"title","the name of a book, poem, painting, piece of music, etc."
"upon","used to emphasize that there is a large number or amount of something"
"threat","a statement in which you tell somebody that you will punish or harm them, especially if they do not do what you want"
"stuff","used to refer to a substance, material, group of objects, etc. when you do not know the name, when the name is not important or when it is obvious what you are talking about"
"soil","the top layer of the earth in which plants, trees, etc. grow"
"tragedy","a very sad event or situation, especially one that involves death"
"them","used when referring to people, animals or things as the object of a verb or preposition, or after the verb"
"user","a person or thing that uses something"
"ticket","a printed piece of paper, or a message or image received on your phone or computer, that gives you the right to travel on a particular bus, train, etc. or to go into a theatre, etc."
"tone","the quality of somebody’s voice, especially expressing a particular emotion"
"succeed","to achieve something that you have been trying to do or get; to have the result or effect that was intended"
"translate","to express the meaning of speech or writing in a different language"
"variable","a situation, number or quantity that can vary or be varied"
"tissue","a piece of soft paper, used especially as a handkerchief"
"tablespoon","a large spoon, used especially for serving food"
"suffer","to be badly affected by a disease, pain, sad feelings, a lack of something, etc."
"toss","to throw something lightly or carelessly"
"trend","a general direction in which a situation is changing or developing"
"somehow","in a way that is not known or certain"
"venture","a business project or activity, especially one that involves taking risks"
"tomorrow","on or during the day after today"
"toward","in the direction of somebody/something"
"summit","the highest point of something, especially the top of a mountain"
"tank","a large container for holding liquid or gas"
"true","connected with facts rather than things that have been invented or guessed"
"victory","success in a game, an election, a war, etc."
"topic","a subject that you talk, write or learn about"
"soon","in a short time from now; a short time after something else has happened"
"supreme","highest in rank or position"
"tradition","a belief, custom or way of doing something that has existed for a long time among a particular group of people; a set of these beliefs or customs"
"tea","the dried leaves (called tea leaves) of the tea bush"
"violent","involving or caused by physical force that is intended to hurt or kill somebody"
"tv","television"
"tournament","a sports competition involving a number of teams or players who take part in different games and must leave the competition if they lose. The competition continues until there is only the winner left."
"south","the direction that is on your right when you watch the sun rise; one of the four main points of the compass"
"technique","a particular way of doing something, especially one in which you have to learn special skills"
"transform","to change the form of something; to change in form"
"surprisingly","in a way that causes surprise"
"trade","the activity of buying and selling or of exchanging goods or services between people or countries"
"temperature","the measurement in degrees of how hot or cold a thing or place is"
"treaty","a formal agreement between two or more countries"
"typically","used to say that something usually happens in the way that you are stating"
"specialist","a person who is an expert in a particular area of work or study"
"visual","of or connected with seeing or sight"
"transfer","to move from one place to another; to move something/somebody from one place to another"
"understand","to know or realize the meaning of words, a language, what somebody says, etc."
"treatment","something that is done to cure an illness or injury, or to make somebody look and feel good"
"spin","to turn round and round quickly; to make something do this"
"term","a word or phrase used as the name of something, especially one connected with a particular type of language"
"troop","connected with soldiers, especially in large groups"
"thirty","30"
"vulnerable","weak and easily hurt physically or emotionally"
"universal","done by or involving all the people in the world or in a particular group"
"spring","the season between winter and summer when plants begin to grow"
"tube","a long, hollow pipe made of metal, plastic, rubber, etc., through which liquids or gases move from one place to another"
"trip","a journey to a place and back again, especially a short one for pleasure or a particular purpose"
"stake","money that somebody invests in a company"
"try","to make an attempt or effort to do or get something"
"three","3"
"war","a situation in which two or more countries or groups of people fight against each other over a period of time"
"unusual","different from what is usual or normal"
"wave","a raised line of water that moves across the surface of the sea, ocean, etc."
