word,definition
"fancy","to want something or want to do something"
"especially","more with one person, thing, etc. than with others, or more in particular circumstances than in others"
"encouraging","that gives somebody support, courage or hope"
"el","the popular name for the elevated  railway in Chicago. It was built in 1897 by Charles Tyson Yerkes. The city's central business district is called the Loop because the railway makes a loop around the area."
"expenditures","the act of spending or using money; an amount of money spent"
"fares","the money that you pay to travel by bus, plane, taxi, etc."
"essex","a county in eastern England. Its administrative centre is Chelmsford"
"endless","very large in size or amount and seeming to have no end"
"electric","connected with electricity; using, produced by or producing electricity"
"experiment","a scientific test that is done in order to study what happens and to gain new knowledge"
"fast","moving or able to move quickly"
"estimate","to form an idea of the cost, size, value, etc. of something, but without calculating it exactly"
"element","a necessary or typical part of something; one of several parts that something contains"
"expires","to be no longer legally acceptable because the period of time for which it could be used has ended"
"engage","to succeed in attracting and keeping somebody’s attention and interest"
"fatty","containing a lot of fat; consisting of fat"
"engineers","a person whose job involves designing and building engines, machines, roads, bridges, etc."
"ethernet","a system for connecting a number of computer systems to form a network"
"eliminate","to remove or get rid of something"
"exploration","the act of travelling through a place in order to find out about it or look for something in it"
"falling","to drop down from a higher level to a lower level"
"enhancing","to increase or further improve the good quality, value or status of somebody/something"
"favourites","a person or thing that you like more than the others of the same type"
"euro","the unit of money of some countries of the European Union"
"elsewhere","in, at or to another place or other places"
"engines","the part of a vehicle that produces power to make the vehicle move"
"exposed","not protected from the weather by trees, buildings or high ground"
"enquiries","an official process to find out the cause of something or to find out information about something"
"egyptian","(a person) from Egypt"
"fear","the bad feeling that you have when you are in danger or when a particular thing frightens you"
"evaluated","to form an opinion of the amount, value or quality of something after thinking about it carefully"
"emerald","bright green in colour"
"enjoy","to get pleasure from something"
"extended","long or longer than usual or expected"
"ent"," (as a department in a hospital or a branch of medicine)"
"february","the 2nd month of the year, between January and March"
"elect","to choose somebody to do a particular job by voting for them"
"evening","the part of the day between the afternoon and the time you go to bed"
"enquiry","an official process to find out the cause of something or to find out information about something"
"emma","a first name for girls"
"external","connected with or located on the outside of something/somebody"
"entertainment","films, music, etc. used to entertain people; an example of this"
"feeds","to give food to a person or an animal"
"electro","connected with electricity"
"employed","to give somebody a job to do for payment"
"everyone","every person; all people"
"enter","to come or go into something"
"entrepreneurs","a person who makes money by starting or running businesses, especially when this involves taking financial risks"
"fellow","used to describe somebody who is the same as you in some way, or in the same situation"
"eye","either of the two organs on the face that you see with"
"exact","correct in every detail"
"elephant","a very large animal with thick grey skin, large ears, two curved outer teeth called tusks and a long nose called a trunk. There are two types of , the African and the Asian."
"enable","to make it possible for somebody/something to do something"
"ferry","a boat or ship that carries people, vehicles and goods across a river or across a narrow part of the sea"
"entire","including everything, everyone or every part"
"fabulous","extremely good"
"elizabeth","a first name for girls"
"examining","to consider or study an idea, a subject, etc. very carefully"
"encounter","to experience something, especially something unpleasant or difficult, while you are trying to do something else"
"except","used before you mention the only thing or person about which a statement is not true"
"entries","an act of going into or getting into a place"
"facing","an outer layer that covers the surface of a wall to make it look more attractive"
"emily","a first name for girls"
"failed","not successful"
"exchanges","an act of giving something to somebody or doing something for somebody and receiving something in return"
"fifth","5th"
"end","the final part of a period of time, an event, an activity or a story"
"emperor","the ruler of an empire"
"equipment","the things that are needed for a particular purpose or activity"
"fan","a person who admires somebody/something or enjoys watching or listening to somebody/something very much"
"fairy","(in stories) a creature like a small person, who has magic powers"
"exclusive","only to be used by one particular person or group; only given to one particular person or group"
"figured","decorated with a small pattern"
"erik","a first name for boys"
"employer","a person or company that pays people to work for them"
"ends","the final part of a period of time, an event, an activity or a story"
"equipped","to provide yourself/somebody/something with the things that are needed for a particular purpose or activity"
"fill","to make something full of something; to become full of something"
"fare","the money that you pay to travel by bus, plane, taxi, etc."
"escort","a person or group of people or vehicles that travels with somebody/something in order to protect or guard them"
"enabling","to make it possible for somebody/something to do something"
"executives","a person who has an important job as a manager of a company or an organization"
"fame","the state of being known and talked about by many people"
"engagement","an agreement to marry somebody; the period during which two people are engaged"
"erotic","showing or involving sexual desire and pleasure; intended to make somebody feel sexual desire"
"filters","a device containing paper, sand, chemicals, etc. that a liquid or gas is passed through in order to remove any materials that are not wanted"
"essentially","when you think about the true, important or basic nature of somebody/something"
"fantastic","extremely good; excellent"
"encouraged","to give somebody support, courage or hope"
"exhibitions","a collection of things, for example works of art, that are shown to the public"
"english","the language, originally of England, now spoken in many other countries and used as a language of international communication throughout the world"
"escorts","a person or group of people or vehicles that travels with somebody/something in order to protect or guard them"
"financing","money used to run a business, an activity or a project"
"fashion","a popular style of clothes, hair, etc. at a particular time or place; the state of being popular"
"farmer","a person who owns or manages a farm"
"estate","an area of land with a lot of houses or factories of the same type on it"
"essentials","something that is needed in a particular situation or in order to do a particular thing"
"exotic","from or in another country, especially a tropical one; seeming exciting and unusual because it seems to be connected with other countries"
"enjoying","to get pleasure from something"
"fine","in good health"
"fathers","a male parent of a child or an animal; a person who is acting as the father to a child"
"fastest","moving or able to move quickly"
"etc","used after a list to show that there are other things that you could have mentioned (the abbreviation for )"
"enrollment","the act of officially joining a course, school, etc.; the number of people who do this"
"finite","having a definite limit or fixed size"
"energy","the strength, effort and enthusiasm required for physical or mental activity, work, etc."
"estates","an area of land with a lot of houses or factories of the same type on it"
"fires","the flames, light and heat, and often smoke, that are produced when something burns"
"entering","to come or go into something"
"eternal","without an end; existing or continuing forever"
"expectations","a belief that something will happen because it is likely"
"fish","a creature that lives in water, breathes through gills, and uses fins and a tail for swimming"
"engineer","a person whose job involves designing and building engines, machines, roads, bridges, etc."
"entities","something that exists separately from other things and has its own identity"
"expensive","costing a lot of money"
"fits","to be the right shape and size for somebody/something"
"enhancement","the act of increasing or further improving the good quality, value or status of somebody/something"
"favourite","liked more than others of the same kind"
"envelope","a flat paper container used for sending letters in, with a part that you stick down to close it"
"fl","Florida"
"expert","a person with special knowledge, skill or training in something"
"enormous","extremely large"
"fe","(in the UK) further education"
"epic","a long poem about the actions of great men and women or about a nation’s history; this style of poetry"
"explaining","to tell somebody about something in a way that makes it easy to understand"
"eugene","a city in the US state of Oregon"
"favor","a thing that you do to help somebody"
"flat","a set of rooms for living in, usually on one floor of a building"
"ensures","to make sure that something happens or is definite"
"equality","the fact of being equal in rights, status, advantages, etc."
"feb","the 2nd month of the year, between January and March"
"fbi"," (the police department in the US that is controlled by the national government and that is responsible for dealing with crimes that affect more than one state)"
"exploring","to travel to or around an area or a country in order to learn about it"
"feeding","the act of giving food to a person, an animal or a plant"
"enters","to come or go into something"
"equivalent","a thing, amount, word, etc. that is equal in value, meaning or purpose to something else"
"flooring","material used to make the floor of a room"
"feat","an action or a piece of work that needs skill, strength or courage"
"fell","a hill or an area of hills in northern England"
"eve","the day or evening before an event, especially a religious festival or holiday"
"entrance","a door, gate, passage, etc. used for entering a room, building or place"
"flour","a fine white or brown powder made from grain, especially wheat, and used in cooking for making bread, cakes, etc."
"expressed","to show or make known a feeling, an opinion, etc. by words, looks or actions"
"espn","a US-based international cable television sports network that shows US and international sports events and certain other special programmes. It began as a local television channel in Connecticut in 1979. ESPN stands for Entertainment and Sports Programming Network."
"federal","having a system of government in which the individual states of a country have control over their own affairs, but are controlled by a central government for national decisions, etc."
"everybody","every person; all people"
"flush","to become red, especially because you are embarrassed, angry or hot; to make somebody's face become red"
"evaluate","to form an opinion of the amount, value or quality of something after thinking about it carefully"
"environments","the natural world in which people, animals and plants live"
"est","Eastern Standard Time"
"evolution","the slow steady development of plants, animals, etc. during the history of the earth, as they adapt to changes in their environment"
"focal","central; very important; connected with or providing a focus"
"episode","one part of a story that is broadcast on television or radio in several parts"
"even","used to emphasize something unexpected or surprising"
"feeling","something that you feel through the mind or through the senses"
"extension","the act of increasing the area of activity, group of people, etc. that is affected by something"
"everyday","used or happening every day or regularly; ordinary"
"equations","a statement showing that two amounts or values are equal, for example 2x + y = 54"
"examined","to consider or study an idea, a subject, etc. very carefully"
"felt","a type of soft thick cloth made from wool or hair that has been pressed tightly together"
"ff","very loudly (from Italian )"
"folders","a cover made of stiff card or plastic for holding loose papers, etc."
"extraction","the act or process of removing or obtaining something from something else"
"ex","a person’s former wife, husband or partner"
"festivals","a series of performances of music, plays, films, etc., usually organized in the same place once a year; a series of public events connected with a particular activity or idea"
"eric","a first name for boys"
"excellence","the quality of being extremely good"
"fifteen","15"
"font","a large stone bowl in a church that holds water for the ceremony of baptism"
"es","the fifth letter in the English alphabet"
"fiber","the part of food that helps to keep a person healthy by keeping the bowels working and moving other food quickly through the body"
"excessive","greater than what seems reasonable or appropriate"
"figure","a number representing a particular amount, especially one given in official information"
"football","a game played by two teams of 11 players, using a round ball that players kick up and down the playing field. Teams try to kick the ball into the other team’s goal."
"faces","the front part of the head, where the eyes, nose and mouth are"
"essence","the most important quality or feature of something, that makes it what it is"
"fig","a soft sweet fruit that is full of small seeds and often eaten dried"
"filing","the act of putting documents, letters, etc. into a file"
"excluding","not including"
"ford","a shallow place in a river where it is possible to drive or walk across"
"establishing","to start or create an organization, a system, etc. that is meant to last for a long time"
"factors","one of several things that cause or influence something"
"fiji","a country in the southern Pacific Ocean, consisting of over 800 islands. The capital city is Suva, and the country's economy is based mainly on farming, fishing and tourism. Fiji, which used to be a part of the British Empire, became independent in 1970. The armed forces took over the country in 1987, 2000 and 2006. In 2014 there was a democratic election and Fiji was allowed to return to being a member of the Commonwealth, having been removed in 2006."
"filtering","to pass liquid, light, etc. through a special device, especially to remove something that is not wanted"
"execution","the act of killing somebody, especially as a legal punishment"
"forge","to put a lot of effort into making something successful or strong so that it will last"
"failure","lack of success in doing or achieving something"
"estonia","a country in eastern Europe"
"filling","a small amount of metal or other material used to fill a hole in a tooth"
"financial","connected with money and finance"
"exhibit","to show something in a public place for people to enjoy or to give them information"
"formation","the action of forming something; the process of being formed"
"ethnic","connected with or belonging to a group of people that share a cultural tradition"
"final","being or happening at the end of a series of events, actions, statements, etc."
"fall","to drop down from a higher level to a lower level"
"finds","to discover somebody/something unexpectedly or by chance"
"ev","a vehicle that uses one or more electric motors (the abbreviation for )"
"formula","a series of letters, numbers or symbols that represent a rule or law"
"family","a group consisting of one or two parents and their children"
"estimated","to form an idea of the cost, size, value, etc. of something, but without calculating it exactly"
"finishing","to stop doing something or making something because it is complete"
"forwarding","to send or pass goods or information to somebody"
"ethical","connected with beliefs and principles about what is right and wrong"
"finger","one of the four long thin parts that stick out from the hand (or five, if the thumb is included)"
"fireplace","an open space for a fire in the wall of a room"
"europe","the continent next to Asia in the east, the Atlantic Ocean in the west, and the Mediterranean Sea in the south"
"foundation","a principle, an idea or a fact that something is based on and that it grows from"
"finnish","from or connected with Finland"
"examines","to consider or study an idea, a subject, etc. very carefully"
"fiscal","connected with government or public money, especially taxes"
"farms","an area of land, and the buildings on it, used for growing crops and/or keeping animals"
"evaluating","to form an opinion of the amount, value or quality of something after thinking about it carefully"
"excellent","extremely good"
"fitness","the state of being physically healthy and strong"
"framework","the parts of a building or an object that support its weight and give it shape"
"fate","the things, especially bad things, that will happen or have happened to somebody/something"
"fisheries","a part of the sea or a river where fish are caught in large quantities"
"event","a thing that happens, especially something important"
"franklin","(1942-2018) a US singer who has been called 'Lady Soul' and the 'Queen of Soul'. She won a Grammy award every year from 1967 to 1974 and in total received 18. Her best-known songs are  (1967) and  (1968). In 1987 she was chosen for the Rock and Roll Hall of Fame."
"fixtures","a sports event that has been arranged to take place on a particular date and at a particular place"
"favors","a thing that you do to help somebody"
"fitting","suitable or right for the occasion"
"everything","all things"
"exchange","an act of giving something to somebody or doing something for somebody and receiving something in return"
"flashing","a narrow piece of metal put on a roof where it joins a wall to prevent water getting through"
"freelance","earning money by selling your work or services to several different organizations rather than being employed by one particular organization"
"fd","an abbreviation of the Latin phrase , which means 'Defender of the Faith', a title originally given to Henry VIII by the Pope for defending the Roman Catholic religion. When he created the Church of England he kept the title, referring to the new religion. The phrase appears on most British coins."
"flag","a piece of cloth with a special coloured design on it that may be the symbol of a particular country or organization, may be used to give a signal or may have a particular meaning. A  can be attached to a pole  or held in the hand."
"exclusion","the act of preventing somebody/something from entering a place or taking part in something"
"exactly","used to emphasize that something is correct in every way or in every detail"
"frequent","happening or doing something often"
"flexible","able to change to suit new conditions or situations"
"exists","to be real; to be present in a place or situation"
"features","something important, interesting or typical of a place or thing"
"executive","a person who has an important job as a manager of a company or an organization"
"fleece","the wool coat of a sheep; this coat when it has been removed from a sheep (by shearing)"
"example","something such as an object, a fact or a situation that shows, explains or supports what you say"
"evanescence","the fact of disappearing quickly from sight or memory"
"exhibition","a collection of things, for example works of art, that are shown to the public"
"feed","to give food to a person or an animal"
"flights","a journey made by air, especially in a plane"
"exception","a person or thing that is not included in a general statement"
"exit","a way out of a public building or vehicle"
"floppy","hanging or falling loosely; not hard and stiff"
"fees","an amount of money that you pay for professional advice or services"
"excited","feeling or showing happiness and enthusiasm"
"expense","the money that you spend on something"
"expect","to think or believe that something will happen or that somebody will do something"
"flower","the coloured part of a plant from which the seed or fruit develops.  usually grow at the end of a stem and last only a short time."
"fence","a structure made of wood or wire supported with posts that is put between two areas of land as a boundary, or around a garden, field, etc. to keep animals in, or to keep people and animals out"
"exclusively","for only one particular person, group or use"
"experimental","based on new ideas, forms or methods that are used to find out what effect they have"
"expenses","the money that you spend on something"
"fly","to move through the air, using wings"
"exempt","if somebody/something is  from something, they are not affected by it, do not have to do it, pay it, etc."
"few","used with plural nouns and a plural verb to mean ‘a small number’, ‘some’"
"explain","to tell somebody about something in a way that makes it easy to understand"
"experiments","a scientific test that is done in order to study what happens and to gain new knowledge"
"focused","with your attention directed to what you want to do; with very clear aims"
"exhibits","to show something in a public place for people to enjoy or to give them information"
"field","an area of land in the country used for growing crops or keeping animals in, usually surrounded by a fence, etc."
"explore","to travel to or around an area or a country in order to learn about it"
"folk","people in general"
"explained","to tell somebody about something in a way that makes it easy to understand"
"fighters","a fast military plane designed to attack other aircraft"
"exposure","the state of being in a place or situation where there is no protection from something harmful or unpleasant"
"foo","a smooth white food often eaten with soups or stews and made by boiling and pressing together the roots of plants such as cocoyams and cassava"
"explorer","a person who travels to places where few people have been before or places that are unknown to them, in order to find out more about them"
"filename","a name given to a computer file in order to identify it"
"extending","to make something longer or larger"
"express","to show or make known a feeling, an opinion, etc. by words, looks or actions"
"films","a series of moving pictures recorded with sound that tells a story, watched at a cinema or on a television or other device"
"floor","the surface of a room that you walk on"
"extra","more than is usual, expected, or than exists already"
"friends","a popular US television comedy series (1994-2004) about six close friends in New York. The characters are Monica, Rachel, Phoebe, Chandler, Ross and Joey. The stories are about the joys and problems of love, work and friendships."
"for","used to show who is intended to have or use something or where something is intended to be put"
"ever","used in negative sentences and questions, or sentences with  to mean ‘at any time’"
"extends","to make something longer or larger"
"florists","a person who owns or works in a shop that sells flowers and plants"
"finance","money used to run a business, an activity or a project"
"eyed","to look at somebody/something carefully, especially because you want something or you suspect that something is wrong"
"frozen","kept at a very low temperature in order to preserve it"
"forecasts","a statement about what will happen in the future, based on information that is available now"
"evident","clear; easily seen"
"fluid","a liquid; a substance that can flow"
"extract","a short passage from a book, piece of music, etc. that gives you an idea of what the whole thing is like"
"findings","information that is discovered as the result of research into something"
"fucked","to have sex with somebody"
"face","the front part of the head, where the eyes, nose and mouth are"
"examinations","a formal written, spoken or practical test, especially at school or college, to see how much you know about a subject, or what you can do"
"foam","a soft light rubber material, full of small holes, that is used for seats, mattresses, etc."
"function","a special activity or purpose of a person or thing"
"finish","to stop doing something or making something because it is complete"
"formatting","to arrange text in a particular way on a page or a screen"
"exceed","to be greater than a particular number or amount"
"eyes","either of the two organs on the face that you see with"
"folder","a cover made of stiff card or plastic for holding loose papers, etc."
"fact","a thing that is known to be true, especially when it can be proved"
"fired","to shoot bullets, etc. from a gun or other weapon"
"forth","away from a place; out"
"excerpt","a short piece of writing, music, film, etc. taken from a longer whole"
"faced","to be opposite somebody/something; to have your face or front pointing towards somebody/something or in a particular direction"
"exp","points that you earn in a computer game (the abbreviation for )"
"failing","a weakness or fault in somebody/something"
"follows","to come or go after or behind somebody/something"
"firmware","a type of computer software that is stored in such a way that it cannot be changed or lost"
"foster","to encourage something to develop"
"exclude","to deliberately not include something in what you are doing or considering"
"factor","one of several things that cause or influence something"
"expected","that you think will happen"
"faith","trust in somebody’s ability or knowledge; trust that somebody/something will do what has been promised"
"founded","to start something, such as an organization or an institution, especially by providing money"
"footage","part of a film showing a particular event"
"execute","to kill somebody, especially as a legal punishment"
"fails","to not be successful in achieving something"
"experience","the knowledge and skill that you have gained through doing something for a period of time; the process of gaining this"
"familiar","well known to you; often seen or heard and therefore easy to recognize"
"fixed","staying the same; not changing or able to be changed"
"fake","not what somebody claims it is; appearing to be something it is not"
"forces","violent physical action used to obtain or achieve something"
"exercises","physical or mental activity that you do to stay healthy or become stronger"
"expertise","expert knowledge or skill in a particular subject, activity or job"
"fantasy","a pleasant situation that you imagine but that is unlikely to happen"
"fraction","a small part or amount of something"
"flash","a sudden bright light that shines for a moment and then disappears"
"forever","used to say that a particular situation or state will always exist"
"families","a group consisting of one or two parents and their children"
"existence","the state or fact of being real or living or of being present"
"explains","to tell somebody about something in a way that makes it easy to understand"
"farmers","a person who owns or manages a farm"
"france","a country in western Europe"
"flex","to bend, move or stretch an arm or a leg, or pull a muscle tight, especially in order to prepare for a physical activity"
"faq","used in writing to mean ‘’ (a list of questions and answers about a particular subject, especially one giving basic information for users of a website)"
"format","the general arrangement, plan, design, etc. of something"
"fraud","the crime of cheating somebody in order to get money or goods illegally"
"fat","having too much flesh on it and weighing too much"
"floating","not fixed permanently in one particular position or place"
"expanding","to become greater in size, number or importance; to make something greater in size, number or importance"
"funded","to provide money for something, usually something official"
"farming","the business of managing or working on a farm"
"forms","a type or variety of something"
"freeware","computer software that is offered free for anyone to use"
"favorite","liked more than others of the same kind"
"florida","the most southern state in the US. It is internationally famous for its hot weather and white beaches. Florida's popular name is ‘the Sunshine State’. It forms a long, flat area of land in the south-east between the Atlantic Ocean and the Gulf of Mexico. The largest city is Jacksonville and the capital city is Tallahassee. Florida was discovered in 1513 by Juan Ponce de León of Spain. Agriculture, manufacturing and tourism are all important to the state's economy. Its attractions include Disney World, Cape Canaveral, Miami Beach, the Everglades and the Florida Keys."
"expenditure","the act of spending or using money; an amount of money spent"
"fatal","causing or ending in death"
"fur","the soft thick mass of hair that grows on the body of some animals"
"forward","towards a place or position that is in front"
"fresh","recently produced or picked and not frozen, dried or preserved in tins or cans"
"floyd","one of the most popular British  music groups, formed in 1965. The group's most successful albums include  (1973) and  (1979). The group is particularly well known for its exciting live performances involving lights and screen images."
"experiencing","to have a particular situation affect you or happen to you"
"favorites","a person or thing that you like more than the others of the same type"
"futures","the time that will come after the present or the events that will happen then"
"found","to start something, such as an organization or an institution, especially by providing money"
"feature","something important, interesting or typical of a place or thing"
"frog","a small animal with smooth skin, that lives both on land and in water .  have very long back legs for jumping, and no tail."
"fm"," (a method of broadcasting high-quality sound by radio)"
"fcc"," (the US government department that controls radio, television, phone, and other communications)"
"expired","no longer legally acceptable because the period of time for which it could be used has ended"
"gabriel","a first name for boys"
"federation","a country consisting of a group of individual states that have control over their own affairs but are controlled by a central government for national decisions, etc."
"fox","a wild animal of the dog family, with red-brown fur, a pointed face and a thick heavy tail"
"fog","a thick cloud of very small drops of water in the air close to the land or sea that is very difficult to see through"
"fruits","the part of a plant that consists of one or more seeds and a soft inner part, can be eaten as food and usually tastes sweet"
"explicitly","clearly or directly, so that the meaning is easy to understand"
"featured","included as a special attraction"
"galleries","a room or building for showing works of art, especially to the public"
"followed","to come or go after or behind somebody/something"
"fuel","any material that produces heat or power, usually when it is burnt"
"fee","an amount of money that you pay for professional advice or services"
"exports","the selling and transporting of goods to another country"
"gamma","the third letter of the Greek alphabet (Γ, γ)"
"frames","a strong border or structure of wood, metal, etc. that holds a picture, door, piece of glass, etc. in position"
"feelings","something that you feel through the mind or through the senses"
"functionality","the quality in something of being very suitable for the purpose it was designed for"
"fool","a person who you think behaves or speaks in a way that lacks intelligence or good judgement"
"feels","to experience a particular feeling or emotion"
"garden","a piece of land next to or around your house where you can grow flowers, fruit, vegetables, etc., usually with a lawn"
"extend","to make something longer or larger"
"females","an animal that can lay eggs or give birth to babies; a plant that can produce fruit"
"gate","a barrier like a door that is used to close an opening in a fence or a wall outside a building"
"freedom","the power or right to do or say what you want without anyone stopping you"
"female","being a woman or a girl"
"exterior","the outside of something, especially a building"
"gay","sexually or romantically attracted to people of the same sex"
"frequency","the rate at which something happens or is repeated"
"fever","a medical condition in which a person has a temperature that is higher than normal"
"extremely","to a very high degree"
"fetish","the fact that a person spends too much time doing or thinking about a particular thing or thinks that it is more important than it really is"
"gd","a chemical element.  is a soft silver-white metal."
"explosion","the sudden violent bursting and loud noise of something such as a bomb exploding; the act of deliberately causing something to explode"
"fabrics","material made by weaving wool, cotton, silk, etc., used for making clothes, curtains, etc. and for covering furniture"
"fibre","the part of food that helps to keep a person healthy by keeping the bowels working and moving other food quickly through the body"
"gender","the fact of being male or female, especially when considered with reference to social and cultural differences, rather than differences in biology; members of a particular  as a group"
"expression","a word or phrase"
"facility","buildings, services, equipment, etc. that are provided for a particular purpose"
"generating","to produce energy, especially electricity"
"extensions","the act of increasing the area of activity, group of people, etc. that is affected by something"
"fight","to take part in a war or battle against an enemy"
"fail","to not be successful in achieving something"
"genesis","the beginning or origin of something"
"extraordinary","unexpected, surprising or strange"
"fundraising","the activity of collecting money for a charity or organization, often by organizing social events or entertainments"
"fairly","to some extent but not very"
"file","a box or folded piece of card for keeping loose papers together and in order"
"force","violent physical action used to obtain or achieve something"
"gentle","calm and kind; doing things in a quiet and careful way"
"f","female"
"false","wrong; not correct or true"
"film","a series of moving pictures recorded with sound that tells a story, watched at a cinema or on a television or other device"
"forestry","the science or practice of planting and taking care of trees and forests"
"geological","connected with the scientific study of the physical structure of the earth, including the origin and history of the rocks and soil of which the earth is made"
"facial","connected with a person’s face; on a person’s face"
"fans","a person who admires somebody/something or enjoys watching or listening to somebody/something very much"
"finally","after a long time, especially when there has been some difficulty or delay"
"friendly","behaving in a kind and pleasant way because you like somebody or want to help them"
"fiction","a type of literature that describes imaginary people and events, not real ones"
"form","a type or variety of something"
"frost","a weather condition in which the temperature drops below 0° Celsius  so that a thin white layer of ice forms on the ground and other surfaces, especially at night"
"factory","a building or group of buildings where goods are made, mainly by machine"
"farm","an area of land, and the buildings on it, used for growing crops and/or keeping animals"
"finder","a person who finds something"
"formerly","in the past"
"fighter","a fast military plane designed to attack other aircraft"
"failures","lack of success in doing or achieving something"
"fuck","to have sex with somebody"
"forum","an event or medium where people can exchange opinions and ideas on a particular issue; a meeting organized for this purpose"
"faster","moving or able to move quickly"
"get","to receive something"
"fallen","lying on the ground, after falling"
"furnishings","the furniture, carpets, curtains, etc. in a room or house"
"fun","the feeling of enjoying yourself; activities that you enjoy"
"filed","to put and keep paper documents in a particular place and in a particular order so that you can find them easily; to put a paper document in a box, file, etc."
"fundamentals","a basic rule or principle; an essential part"
"fault","the responsibility for something wrong that has happened or been done"
"gage","an instrument for measuring the amount or level of something"
"four","4"
"famous","known about by many people"
"gambling","the activity of playing games of chance for money and of betting on horses, etc."
"funny","making you laugh"
"frame","a strong border or structure of wood, metal, etc. that holds a picture, door, piece of glass, etc. in position"
"fax","a machine that sends and receives documents in an electronic form along phone wires and then prints them"
"far","a long distance away"
"fingering","the positions in which you put your fingers when playing a musical instrument"
"gangbang","to  a person one after the other"
"future","the time that will come after the present or the events that will happen then"
"finals","the last of a series of games or competitions, in which the winner is decided"
"francisco","a city in the US state of California, on San Francisco Bay. It is built on hills and is known for its beautiful views and Victorian style houses. It was established by the Spanish in 1776 as Yerba Buena, taken by the US in 1846 and given its present name the following year. It grew rapidly after the Gold Rush but was badly damaged by an earthquake in 1906. Its many tourist attractions include the cable cars , Golden Gate Bridge, the restaurants along Fisherman's Wharf, Nob Hill, Haight-Ashbury,  and Chinatown. San Francisco is a financial and communications centre and a centre for trade with Asia."
"fascinating","extremely interesting and attractive"
"ga","a chemical element.  is a soft silver-white metal."
"fears","the bad feeling that you have when you are in danger or when a particular thing frightens you"
"gardens","a piece of land next to or around your house where you can grow flowers, fruit, vegetables, etc., usually with a lawn"
"finding","information that is discovered as the result of research into something"
"free","without particular plans or arrangements; not busy"
"gale","an extremely strong wind"
"firm","a business or company"
"gateway","an opening in a wall or fence that can be closed by a gate"
"giant","very large; much larger or more important than similar things usually are"
"french","of or connected with France, its people or its language"
"fingers","one of the four long thin parts that stick out from the hand (or five, if the thumb is included)"
"gazette","an official newspaper published by a particular organization containing important information about decisions that have been made and people who have been employed"
"gaming","playing video games"
"fishing","the sport or business of catching fish"
"gilbert","a first name for boys"
"fridge","a piece of electrical equipment in which food is kept cold so that it stays fresh"
"five","5"
"frontier","a line that separates two countries, etc.; the land near this line"
"fire","the flames, light and heat, and often smoke, that are produced when something burns"
"flags","a piece of cloth with a special coloured design on it that may be the symbol of a particular country or organization, may be used to give a signal or may have a particular meaning. A  can be attached to a pole  or held in the hand."
"genealogy","the study of family history, including the study of who the ancestors of a particular person were"
"ftp"," (a set of rules for sending files from one computer to another on the internet)"
"firms","a business or company"
"gasoline","a liquid obtained from petroleum, used as fuel in car engines, etc."
"fleet","a group of military ships commanded by the same person"
"generations","all the people who were born at about the same time"
"fist","a hand when it is tightly closed with the fingers bent into the palm"
"flip","to turn over into a different position with a sudden quick movement; to make something do this"
"full","containing or holding as much or as many as possible; having no empty space"
"genetics","the scientific study of the ways in which different characteristics are passed from each generation of living things to the next"
"father","a male parent of a child or an animal; a person who is acting as the father to a child"
"fix","to repair or correct something"
"floral","consisting of pictures of flowers; decorated with pictures of flowers"
"fund","an amount of money that has been saved or has been made available for a particular purpose"
"gently","in a way that is soft and light, not strong, extreme or violent"
"favour","a thing that you do to help somebody"
"gen","information"
"flame","a hot bright stream of burning gas that comes from something that is on fire"
"flowers","the coloured part of a plant from which the seed or fruit develops.  usually grow at the end of a stem and last only a short time."
"geometry","the branch of mathematics that deals with the measurements and relationships of lines, angles, surfaces and solids"
"fda"," (the US government department that is responsible for making sure that food and drugs are safe to be sold)"
"funk","a type of dance music with a strong rhythm, developed by African American musicians in the 1960s"
"flesh","the soft substance between the skin and bones of animal or human bodies"
"feel","to experience a particular feeling or emotion"
"getting","before a situation changes and it is no longer possible to do something"
"flyer","a person who flies an aircraft (usually a small one, not a passenger plane)"
"featuring","to include a particular person or thing as a special feature"
"furthermore","in addition to what has just been stated.  is used especially to add a point to an argument."
"gibraltar","a large rock at the western end of the Mediterranean Sea, connected to the south coast of Spain. There is a small town and a large military base on Gibraltar, which is owned by Britain but claimed by Spain. It used to be an important centre for the Royal Navy and the RAF, guarding the area where the Mediterranean flows into the Atlantic, but many of the armed forces have left Gibraltar, and tourism is becoming a more important industry. Many monkeys, called Barbary apes, live on the Rock of Gibraltar, and there is a legend that the British will leave Gibraltar when the monkeys die or stop living there."
"float","to move slowly on water or in the air"
"giving","to hand something to somebody so that they can look at it, use it or keep it for a time"
"fy","to make or become"
"florence","a first name for girls"
"girlfriend","a girl or a woman that somebody is having a romantic relationship with"
"feedback","advice, criticism or information about how good or useful something or somebody’s work is"
"focuses","to give attention, effort, etc. to one particular subject, situation or person rather than another"
"glenn","a first name for boys"
"gains","to obtain or win something, especially something that you need or want"
"glad","pleased; happy"
"flows","the steady and continuous movement of something/somebody in one direction"
"folks","people in general"
"gm","gram(s)"
"flying","able to fly"
"globe","the world (used especially to emphasize its size)"
"games","an activity that you do to have fun, often one that has rules and that you can win or lose; the equipment for a game"
"food","things that people or animals eat"
"generates","to produce energy, especially electricity"
"fewer","a small number of people, things or places; some"
"focusing","to give attention, effort, etc. to one particular subject, situation or person rather than another"
"garage","a building for keeping one or more cars or other vehicles in"
